BestellID,Bestelldatum,Bestellart,Lieferant,Artikelnummer,Artikelbeschreibung,Menge,Einheit,PreisProEinheit,Bestellstatus,GeplantesLieferdatum,TatsächlichesLieferdatum,AktuellerLagerbestand,Engpass,KritischSeit,Gesamtpreis,Lieferdauer,JahrMonat,Kategorie
1026,2023-01-23,Standardbestellung,Shimano GmbH,SH-FH-M820,Hinterradnabe Saint FH-M820,88,Stück,126.06,Teilgeliefert,2023-02-01,2023-01-31,230,False,,11093.28,8,2023-01,Sonstiges
1027,2023-04-15,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-BL-MT4,Bremshebel MT4,120,Stück,28.94,Geliefert,2023-04-21,2023-04-20,8,True,2023-04-24,3472.8,5,2023-04,Bremsen
1028,2023-12-29,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-BR-MT5,Hydraulikbremse MT5,156,Stück,139.04,Geliefert,2024-01-02,2024-01-01,7,True,2024-01-07,21690.239999999998,3,2023-12,Sonstiges
1029,2023-04-05,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-RT-CL,Bremsscheibe Centerlock 180mm,99,Stück,77.36,Teilgeliefert,2023-04-12,2023-04-12,20,True,2023-04-23,7658.64,7,2023-04,Bremsen
1030,2023-04-20,Standardbestellung,Shimano GmbH,SH-RD-M4120,Schaltwerk Alivio RD-M4120-SGS,171,Stück,73.75,Geliefert,2023-04-29,2023-04-27,282,False,,12611.25,7,2023-04,Sonstiges
1031,2024-04-29,Standardbestellung,SRAM Corporation,SR-CN-GX12,Kette GX Eagle 12-fach,102,Stück,42.87,Teilgeliefert,2024-05-07,2024-05-05,162,False,,4372.74,6,2024-04,Antrieb
1032,2023-12-11,Standardbestellung,Selle Italia S.r.l.,SI-GR-NEOPRE,Fahrradgriffe Neopren,122,Stück,107.48,Offen,2023-12-19,2023-12-21,1,True,2023-12-27,13112.560000000001,10,2023-12,Sonstiges
1033,2024-03-22,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-HB-MT7,Hydraulikbremse MT7,190,Stück,20.21,Geliefert,2024-03-26,2024-03-26,150,False,,3839.9,4,2024-03,Sonstiges
1034,2023-08-26,Eilbestellung,Continental AG,CO-TU-PREM,Fahrradschlauch Presta Ventil,181,Stück,61.34,Geliefert,2023-08-29,2023-08-27,14,True,2023-09-04,11102.54,1,2023-08,Sonstiges
1035,2023-08-03,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-RT-MDR-P,Bremsscheibe MDR-P 203mm,15,Stück,103.57,Teilgeliefert,2023-08-12,2023-08-13,5,True,2023-08-09,1553.55,10,2023-08,Bremsen
1036,2023-11-04,Eilbestellung,Continental AG,CO-RE-RACE,Fahrradreifen Race King 2.2,29,Stück,92.2,Geliefert,2023-11-14,2023-11-16,137,False,,2673.8,12,2023-11,Sonstiges
1037,2024-01-03,Standardbestellung,SRAM Corporation,SR-FC-GX1,Kurbelgarnitur GX Eagle,143,Stück,90.06,Teilgeliefert,2024-01-11,2024-01-13,209,False,,12878.58,10,2024-01,Sonstiges
1038,2023-02-25,Standardbestellung,Continental AG,CO-TU-CITY,Fahrradschlauch City/Tour,193,Stück,138.18,Geliefert,2023-03-02,2023-03-04,7,True,2023-03-26,26668.74,7,2023-02,Sonstiges
1039,2023-04-14,Eilbestellung,Selle Italia S.r.l.,SI-KI-NOVUS,Fahrradsattel Novus Boost,37,Stück,31.98,Geliefert,2023-04-21,2023-04-20,299,False,,1183.26,6,2023-04,Sonstiges
1040,2023-07-13,Standardbestellung,SRAM Corporation,SR-RD-GX1,Schaltwerk GX Eagle,97,Stück,148.07,Offen,2023-07-20,2023-07-19,11,True,2023-08-01,14362.789999999999,6,2023-07,Sonstiges
1041,2023-02-27,Standardbestellung,Continental AG,CO-TU-S42,Fahrradschlauch S42 Presta Ventil,160,Stück,118.0,Teilgeliefert,2023-03-05,2023-03-03,17,True,2023-03-29,18880.0,4,2023-02,Sonstiges
1042,2023-04-04,Standardbestellung,Continental AG,CO-TU-TOUR,Fahrradschlauch Tour 28,41,Stück,146.86,Teilgeliefert,2023-04-08,2023-04-10,4,True,2023-04-28,6021.26,6,2023-04,Sonstiges
1043,2023-09-07,Standardbestellung,SRAM Corporation,SR-CN-SX12,Kette SX Eagle 12-fach,187,Stück,103.02,Teilgeliefert,2023-09-10,2023-09-10,10,True,2023-09-20,19264.739999999998,3,2023-09,Antrieb
1044,2024-02-14,Eilbestellung,Shimano GmbH,SH-CN-HG601,Kette CN-HG601 11-fach,167,Stück,90.86,Teilgeliefert,2024-02-21,2024-02-19,60,False,,15173.62,5,2024-02,Antrieb
1045,2023-08-21,Standardbestellung,Selle Italia S.r.l.,SI-GR-ERGON,Fahrradgriffe Ergon GP1,32,Stück,66.6,Geliefert,2023-08-27,2023-08-25,16,True,2023-09-13,2131.2,4,2023-08,Sonstiges
1046,2023-05-04,Standardbestellung,Continental AG,CO-RE-RACE,Fahrradreifen Race King 2.2,22,Stück,126.69,Geliefert,2023-05-07,2023-05-07,268,False,,2787.18,3,2023-05,Sonstiges
1047,2024-05-10,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-BL-MT5,Bremshebel MT5,76,Stück,114.8,Teilgeliefert,2024-05-18,2024-05-21,177,False,,8724.8,11,2024-05,Bremsen
1048,2023-10-22,Eilbestellung,Selle Italia S.r.l.,SI-KI-NOVUS,Fahrradsattel Novus Boost,149,Stück,89.45,Offen,2023-10-28,2023-10-26,292,False,,13328.050000000001,4,2023-10,Sonstiges
1049,2024-04-12,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-RT-MDR-C,Bremsscheibe MDR-C 203mm,114,Stück,73.49,Offen,2024-04-16,2024-04-14,12,True,2024-05-07,8377.859999999999,2,2024-04,Bremsen
1050,2023-12-21,Eilbestellung,Selle Italia S.r.l.,SI-KI-SLR,Fahrradsattel SLR,81,Stück,42.09,Offen,2023-12-27,2023-12-29,55,False,,3409.2900000000004,8,2023-12,Sonstiges
1051,2023-12-02,Eilbestellung,Selle Italia S.r.l.,SI-SA-XLR,Fahrradsattel SLR Boost,150,Stück,143.39,Offen,2023-12-12,2023-12-12,91,False,,21508.499999999996,10,2023-12,Sonstiges
1052,2023-02-21,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-BL-MT8,Bremshebel MT8,27,Stück,140.96,Offen,2023-02-25,2023-02-25,14,True,2023-03-07,3805.92,4,2023-02,Bremsen
1053,2023-08-17,Standardbestellung,Selle Italia S.r.l.,SI-KI-NEPAL,Fahrradsattel Nepal,24,Stück,96.0,Geliefert,2023-08-23,2023-08-24,3,True,2023-09-03,2304.0,7,2023-08,Sonstiges
1054,2023-12-25,Standardbestellung,Continental AG,CO-TU-LIGHT,Fahrradschlauch Light S42,149,Stück,29.62,Teilgeliefert,2023-12-29,2023-12-27,147,False,,4413.38,2,2023-12,Sonstiges
1055,2024-03-04,Standardbestellung,SRAM Corporation,SR-FC-GX1,Kurbelgarnitur GX Eagle,162,Stück,42.19,Offen,2024-03-12,2024-03-11,179,False,,6834.78,7,2024-03,Sonstiges
1056,2023-08-23,Eilbestellung,Shimano GmbH,SH-CN-M7100,Kette SLX CN-M7100 12-fach,21,Stück,119.27,Teilgeliefert,2023-08-30,2023-09-02,6,True,2023-09-06,2504.67,10,2023-08,Antrieb
1057,2024-05-13,Eilbestellung,Shimano GmbH,SH-CS-M8100,Kassette XT CS-M8100 12-fach,109,Stück,101.59,Offen,2024-05-23,2024-05-25,20,True,2024-05-24,11073.31,12,2024-05,Sonstiges
1058,2024-02-27,Eilbestellung,SRAM Corporation,SR-FC-NX1,Kurbelgarnitur NX Eagle,38,Stück,74.74,Offen,2024-03-06,2024-03-09,136,False,,2840.12,11,2024-02,Sonstiges
1059,2024-03-01,Eilbestellung,Selle Italia S.r.l.,SI-GR-ERGON,Fahrradgriffe Ergon GP1,91,Stück,50.93,Offen,2024-03-04,2024-03-06,4,True,2024-03-28,4634.63,5,2024-03,Sonstiges
1060,2023-02-01,Standardbestellung,Continental AG,CO-TU-PREM,Fahrradschlauch Presta Ventil,124,Stück,46.18,Teilgeliefert,2023-02-10,2023-02-08,8,True,2023-02-25,5726.32,7,2023-02,Sonstiges
1061,2023-08-06,Standardbestellung,Selle Italia S.r.l.,SI-SA-NOVUS,Fahrradsattel Novus Boost Evo,79,Stück,31.46,Offen,2023-08-16,2023-08-17,151,False,,2485.34,11,2023-08,Sonstiges
1062,2023-05-25,Standardbestellung,SRAM Corporation,SR-CN-NX12,Kette NX Eagle 12-fach,30,Stück,91.64,Teilgeliefert,2023-06-03,2023-06-01,172,False,,2749.2,7,2023-05,Antrieb
1063,2023-03-26,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-RT-MDR-P,Bremsscheibe MDR-P 203mm,65,Stück,138.47,Teilgeliefert,2023-04-03,2023-04-06,6,True,2023-04-13,9000.55,11,2023-03,Bremsen
1064,2023-04-06,Standardbestellung,Selle Italia S.r.l.,SI-KI-NOVUS,Fahrradsattel Novus Boost,142,Stück,146.09,Offen,2023-04-13,2023-04-14,129,False,,20744.78,8,2023-04,Sonstiges
1065,2023-08-09,Eilbestellung,Continental AG,CO-RE-CONTACT,Fahrradreifen Contact Urban,71,Stück,52.64,Teilgeliefert,2023-08-12,2023-08-12,17,True,2023-08-17,3737.44,3,2023-08,Sonstiges
1066,2023-11-19,Standardbestellung,Selle Italia S.r.l.,SI-GR-EPICA,Fahrradgriffe Epica,88,Stück,21.29,Geliefert,2023-11-22,2023-11-24,1,True,2023-11-28,1873.52,5,2023-11,Sonstiges
1067,2024-02-13,Eilbestellung,Continental AG,CO-RE-CROSS,Fahrradreifen Cross King 2.3,134,Stück,27.19,Teilgeliefert,2024-02-22,2024-02-25,20,True,2024-02-28,3643.46,12,2024-02,Sonstiges
1068,2024-04-01,Standardbestellung,Continental AG,CO-TU-TOUR,Fahrradschlauch Tour 28,92,Stück,15.61,Geliefert,2024-04-05,2024-04-05,16,True,2024-04-28,1436.12,4,2024-04,Sonstiges
1069,2023-03-09,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-RT-MDR-P,Bremsscheibe MDR-P 180mm,193,Stück,35.73,Geliefert,2023-03-14,2023-03-13,11,True,2023-03-15,6895.889999999999,4,2023-03,Bremsen
1070,2023-01-14,Eilbestellung,Continental AG,CO-RE-SPEED,Fahrradreifen Speed King 2.2,164,Stück,29.31,Offen,2023-01-19,2023-01-22,14,True,2023-02-06,4806.84,8,2023-01,Sonstiges
1071,2023-04-01,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-HB-MT7,Hydraulikbremse MT7,13,Stück,149.69,Geliefert,2023-04-05,2023-04-08,189,False,,1945.97,7,2023-04,Sonstiges
1072,2023-11-16,Standardbestellung,Continental AG,CO-RE-CONTACT,Fahrradreifen Contact Urban,26,Stück,59.88,Geliefert,2023-11-22,2023-11-23,2,True,2023-12-07,1556.88,7,2023-11,Sonstiges
1073,2023-05-19,Standardbestellung,SRAM Corporation,SR-BB-DUB-PF,Innenlager DUB Pressfit,126,Stück,71.66,Geliefert,2023-05-27,2023-05-27,85,False,,9029.16,8,2023-05,Sonstiges
1074,2023-03-11,Standardbestellung,SRAM Corporation,SR-CS-PG1210,Kassette PG-1210 Eagle 12-fach,65,Stück,133.78,Geliefert,2023-03-17,2023-03-19,11,True,2023-03-23,8695.7,8,2023-03,Sonstiges
1075,2023-06-04,Standardbestellung,Continental AG,CO-RE-SPEED,Fahrradreifen Speed King 2.2,190,Stück,98.55,Teilgeliefert,2023-06-08,2023-06-07,3,True,2023-06-11,18724.5,3,2023-06,Sonstiges
1076,2023-06-29,Standardbestellung,Magura Bosch Parts & Services GmbH,MA-RT-CL,Bremsscheibe Centerlock 180mm,105,Stück,96.49,Teilgeliefert,2023-07-07,2023-07-05,3,True,2023-07-13,10131.449999999999,6,2023-06,Bremsen
1077,2023-12-02,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-RT-MDR-C,Bremsscheibe MDR-C 203mm,90,Stück,23.32,Geliefert,2023-12-06,2023-12-05,10,True,2023-12-17,2098.8,3,2023-12,Bremsen
1078,2023-07-16,Eilbestellung,SRAM Corporation,SR-BB-GXP,Innenlager GXP Team,117,Stück,21.21,Teilgeliefert,2023-07-25,2023-07-23,233,False,,2481.57,7,2023-07,Sonstiges
1079,2023-01-23,Eilbestellung,Shimano GmbH,SH-BR-M820,Bremssattel Saint M820,120,Stück,43.19,Geliefert,2023-02-01,2023-01-30,206,False,,5182.799999999999,7,2023-01,Bremsen
1080,2023-03-01,Eilbestellung,Shimano GmbH,SH-FH-M820,Hinterradnabe Saint FH-M820,49,Stück,122.18,Offen,2023-03-10,2023-03-12,55,False,,5986.820000000001,11,2023-03,Sonstiges
1081,2023-07-27,Standardbestellung,Shimano GmbH,SH-CS-M7100,Kassette SLX CS-M7100 12-fach,143,Stück,95.65,Teilgeliefert,2023-07-30,2023-08-01,2,True,2023-08-01,13677.95,5,2023-07,Sonstiges
1082,2023-08-20,Eilbestellung,SRAM Corporation,SR-FC-SX1,Kurbelgarnitur SX Eagle,41,Stück,147.71,Geliefert,2023-08-29,2023-08-28,13,True,2023-09-02,6056.110000000001,8,2023-08,Sonstiges
1083,2023-08-14,Standardbestellung,Selle Italia S.r.l.,SI-BA-NET,Fahrradsattel Net,64,Stück,28.74,Offen,2023-08-20,2023-08-22,131,False,,1839.36,8,2023-08,Sonstiges
1084,2023-10-23,Eilbestellung,SRAM Corporation,SR-RD-GX1,Schaltwerk GX Eagle,90,Stück,79.54,Teilgeliefert,2023-10-27,2023-10-27,16,True,2023-11-15,7158.6,4,2023-10,Sonstiges
1085,2024-01-12,Eilbestellung,Selle Italia S.r.l.,SI-KI-SLR,Fahrradsattel SLR,167,Stück,19.04,Geliefert,2024-01-19,2024-01-17,152,False,,3179.68,5,2024-01,Sonstiges
1086,2024-01-09,Standardbestellung,SRAM Corporation,SR-FC-SX1,Kurbelgarnitur SX Eagle,36,Stück,109.76,Offen,2024-01-18,2024-01-21,18,True,2024-02-05,3951.36,12,2024-01,Sonstiges
1087,2023-08-16,Eilbestellung,Shimano GmbH,SH-FH-M6110,Hinterradnabe Deore FH-M6110,17,Stück,31.32,Teilgeliefert,2023-08-21,2023-08-22,141,False,,532.44,6,2023-08,Sonstiges
1088,2023-01-13,Standardbestellung,Selle Italia S.r.l.,SI-KI-SLR,Fahrradsattel SLR,94,Stück,62.43,Offen,2023-01-16,2023-01-15,232,False,,5868.42,2,2023-01,Sonstiges
1089,2023-09-24,Standardbestellung,SRAM Corporation,SR-FC-SX1,Kurbelgarnitur SX Eagle,130,Stück,119.28,Teilgeliefert,2023-09-30,2023-10-02,3,True,2023-10-15,15506.4,8,2023-09,Sonstiges
1090,2024-03-10,Eilbestellung,Shimano GmbH,SH-HB-M7110,Vorderradnabe SLX HB-M7110,164,Stück,54.66,Offen,2024-03-17,2024-03-19,136,False,,8964.24,9,2024-03,Sonstiges
1091,2024-04-29,Standardbestellung,Continental AG,CO-TU-TOUR,Fahrradschlauch Tour 28,198,Stück,39.65,Teilgeliefert,2024-05-02,2024-04-30,11,True,2024-05-17,7850.7,1,2024-04,Sonstiges
1092,2023-02-05,Standardbestellung,Continental AG,CO-RE-RACE,Fahrradreifen Race King 2.2,179,Stück,57.55,Geliefert,2023-02-15,2023-02-14,243,False,,10301.449999999999,9,2023-02,Sonstiges
1093,2023-08-06,Eilbestellung,SRAM Corporation,SR-CS-PG1210,Kassette PG-1210 Eagle 12-fach,108,Stück,42.67,Teilgeliefert,2023-08-13,2023-08-15,4,True,2023-08-17,4608.360000000001,9,2023-08,Sonstiges
1094,2023-12-15,Eilbestellung,Shimano GmbH,SH-BR-M820,Bremssattel Saint M820,77,Stück,142.02,Offen,2023-12-23,2023-12-26,159,False,,10935.54,11,2023-12,Bremsen
1095,2023-07-12,Standardbestellung,SRAM Corporation,SR-CS-PG1210,Kassette PG-1210 Eagle 12-fach,126,Stück,95.23,Teilgeliefert,2023-07-22,2023-07-24,7,True,2023-08-08,11998.980000000001,12,2023-07,Sonstiges
1096,2023-06-13,Eilbestellung,Continental AG,CO-RE-ATTACK,Fahrradreifen Grand Prix Attack III,67,Stück,70.08,Teilgeliefert,2023-06-20,2023-06-21,242,False,,4695.36,8,2023-06,Sonstiges
1097,2023-03-31,Standardbestellung,Continental AG,CO-TU-CITY,Fahrradschlauch City/Tour,63,Stück,52.09,Geliefert,2023-04-06,2023-04-04,17,True,2023-04-19,3281.67,4,2023-03,Sonstiges
1098,2023-12-23,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-HB-MT7,Hydraulikbremse MT7,88,Stück,72.14,Teilgeliefert,2023-12-27,2023-12-26,140,False,,6348.32,3,2023-12,Sonstiges
1099,2024-03-07,Standardbestellung,Continental AG,CO-RE-XKING,Fahrradreifen X-King 2.2,184,Stück,120.18,Teilgeliefert,2024-03-14,2024-03-14,0,True,2024-04-05,22113.120000000003,7,2024-03,Sonstiges
1100,2023-08-22,Eilbestellung,SRAM Corporation,SR-BB-DUB,Innenlager DUB BSA,49,Stück,114.11,Offen,2023-09-01,2023-09-04,184,False,,5591.39,13,2023-08,Sonstiges
1101,2023-08-07,Eilbestellung,Continental AG,CO-TU-MTB,Fahrradschlauch MTB 26/27.5/29,183,Stück,43.15,Teilgeliefert,2023-08-10,2023-08-13,279,False,,7896.45,6,2023-08,Sonstiges
1102,2024-02-24,Standardbestellung,Continental AG,CO-RE-ATTACK,Fahrradreifen Grand Prix Attack III,11,Stück,126.29,Geliefert,2024-02-27,2024-02-25,192,False,,1389.19,1,2024-02,Sonstiges
1103,2023-08-06,Eilbestellung,SRAM Corporation,SR-BB-GXP,Innenlager GXP Team,185,Stück,123.04,Teilgeliefert,2023-08-09,2023-08-12,204,False,,22762.4,6,2023-08,Sonstiges
1104,2023-01-21,Standardbestellung,Continental AG,CO-TU-S42,Fahrradschlauch S42 Presta Ventil,118,Stück,47.74,Teilgeliefert,2023-01-28,2023-01-31,16,True,2023-02-09,5633.320000000001,10,2023-01,Sonstiges
1105,2023-12-18,Standardbestellung,Selle Italia S.r.l.,SI-GR-NEOPRE,Fahrradgriffe Neopren,37,Stück,53.82,Geliefert,2023-12-25,2023-12-27,20,True,2024-01-13,1991.34,9,2023-12,Sonstiges
1106,2023-01-20,Eilbestellung,Shimano GmbH,SH-HB-M7110,Vorderradnabe SLX HB-M7110,105,Stück,79.38,Geliefert,2023-01-29,2023-01-28,67,False,,8334.9,8,2023-01,Sonstiges
1107,2023-06-30,Standardbestellung,SRAM Corporation,SR-CN-GX12,Kette GX Eagle 12-fach,59,Stück,88.91,Geliefert,2023-07-04,2023-07-07,124,False,,5245.69,7,2023-06,Antrieb
1108,2023-04-18,Eilbestellung,Selle Italia S.r.l.,SI-GR-NEOPRE,Fahrradgriffe Neopren,75,Stück,36.01,Geliefert,2023-04-21,2023-04-23,14,True,2023-05-08,2700.75,5,2023-04,Sonstiges
1109,2024-01-25,Standardbestellung,Selle Italia S.r.l.,SI-KI-STORIA,Fahrradsattel Storica,197,Stück,79.78,Offen,2024-02-04,2024-02-04,91,False,,15716.66,10,2024-01,Sonstiges
1110,2024-05-13,Eilbestellung,Selle Italia S.r.l.,SI-SA-NOVUS,Fahrradsattel Novus Boost Evo,97,Stück,112.95,Offen,2024-05-18,2024-05-16,112,False,,10956.15,3,2024-05,Sonstiges
1111,2023-06-14,Eilbestellung,Shimano GmbH,SH-RD-M6100,Schaltwerk Deore RD-M6100-SGS,40,Stück,83.64,Geliefert,2023-06-21,2023-06-20,16,True,2023-06-21,3345.6,6,2023-06,Sonstiges
1112,2023-03-23,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-RT-MDR-C,Bremsscheibe MDR-C 203mm,72,Stück,109.35,Teilgeliefert,2023-03-26,2023-03-29,2,True,2023-04-16,7873.2,6,2023-03,Bremsen
1113,2024-04-24,Standardbestellung,SRAM Corporation,SR-RD-GX1,Schaltwerk GX Eagle,65,Stück,81.46,Geliefert,2024-04-29,2024-04-28,18,True,2024-05-18,5294.9,4,2024-04,Sonstiges
1114,2023-03-16,Eilbestellung,SRAM Corporation,SR-FC-NX1,Kurbelgarnitur NX Eagle,128,Stück,139.74,Teilgeliefert,2023-03-22,2023-03-22,128,False,,17886.72,6,2023-03,Sonstiges
1115,2024-03-21,Eilbestellung,Shimano GmbH,SH-FH-M6110,Hinterradnabe Deore FH-M6110,21,Stück,132.89,Geliefert,2024-03-25,2024-03-24,158,False,,2790.6899999999996,3,2024-03,Sonstiges
1116,2023-10-03,Eilbestellung,Continental AG,CO-TU-RACE,Fahrradschlauch Race 28,121,Stück,69.58,Offen,2023-10-08,2023-10-06,5,True,2023-10-12,8419.18,3,2023-10,Sonstiges
1117,2024-03-08,Eilbestellung,Selle Italia S.r.l.,SI-SA-FLITE,Fahrradsattel Flite Boost,11,Stück,136.41,Teilgeliefert,2024-03-12,2024-03-10,14,True,2024-03-25,1500.51,2,2024-03,Sonstiges
1118,2023-05-17,Eilbestellung,Shimano GmbH,SH-CS-M7100,Kassette SLX CS-M7100 12-fach,120,Stück,70.41,Geliefert,2023-05-20,2023-05-19,11,True,2023-05-30,8449.199999999999,2,2023-05,Sonstiges
1119,2023-11-20,Eilbestellung,Magura Bosch Parts & Services GmbH,MA-BL-MT4,Bremshebel MT4,140,Stück,16.94,Geliefert,2023-11-26,2023-11-25,20,True,2023-12-20,2371.6000000000004,5,2023-11,Bremsen
